2026-06-15 10:10:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:14 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:16 [INFO] RECEBIDO | Comandos disponíveis:
  /msg <usuario> <texto>  — envia mensagem privada
  /usuarios               — lista usuários onli
2026-06-15 10:10:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:18 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:22 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:26 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:30 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:34 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:38 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:42 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:46 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:50 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:52 [INFO] RECEBIDO | [Servidor] Permissao negada. Apenas superusers podem cadastrar usuarios.
2026-06-15 10:10:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:54 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:10:58 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:02 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:06 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:10 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:14 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
2026-06-15 10:11:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin,julia
